Model,Lookback,MAE_median,RMSE_median,MAPE_macro,MAPE_median
Qwen/Qwen2.5-3B-Instruct,1,0.3758,0.4185,15.46,9.03
Qwen/Qwen2.5-3B-Instruct,14,0.3555,0.4199,12.84,11.17
Qwen/Qwen2.5-3B-Instruct,21,0.3533,0.3993,14.18,11.61
Qwen/Qwen2.5-3B-Instruct,28,0.5358,0.6107,15.99,12.24
google/gemma-3-4b-it,1,2.7938,3.6764,137.9,52.51
google/gemma-3-4b-it,14,0.3541,0.3856,11.91,10.16
google/gemma-3-4b-it,21,0.4839,0.5054,26.55,10.11
google/gemma-3-4b-it,28,0.536,0.5534,16.41,11.32
meta-llama/Llama-3.2-3B-Instruct,1,0.2944,0.314,14.2,9.76
meta-llama/Llama-3.2-3B-Instruct,14,0.3688,0.4504,14.44,12.53
meta-llama/Llama-3.2-3B-Instruct,21,0.4324,0.5055,15.54,11.8
meta-llama/Llama-3.2-3B-Instruct,28,0.3722,0.3941,16.49,12.09
microsoft/Phi-3.5-mini-instruct,1,0.2936,0.3132,12.14,8.67
microsoft/Phi-3.5-mini-instruct,14,0.4026,0.4588,12.53,8.86
microsoft/Phi-3.5-mini-instruct,21,0.2866,0.346,11.45,8.68
microsoft/Phi-3.5-mini-instruct,28,0.3203,0.3595,12.3,9.49
mistralai/Ministral-3-3B-Instruct-2512,1,1.5098,2.0695,36.48,29.69
mistralai/Ministral-3-3B-Instruct-2512,14,1.1578,2.3568,29.79,16.26
mistralai/Ministral-3-3B-Instruct-2512,21,0.8566,1.5621,24.16,16.67
mistralai/Ministral-3-3B-Instruct-2512,28,0.702,1.8492,32.96,15.88
